B0,GPIO_AD_B0_00,JTAG_TMS,
B1,GPIO_AD_B0_01,JTAG_CLK,
B2,GPIO_AD_B0_02,JTAG_MOD,
B3,GPIO_AD_B0_03,JTAG_TDI,
B4,GPIO_AD_B0_04,JTAG_TDO,
B5,GPIO_AD_B0_05,,
B6,GPIO_AD_B0_06,Tx,
B7,GPIO_AD_B0_07,Rx,
B8,GPIO_AD_B0_08,LCD,
B9,GPIO_AD_B0_09,LCD,
B10,GPIO_AD_B0_10,LCD,
B11,GPIO_AD_B0_11,LCD,
B12,GPIO_AD_B0_12,LCD,
B13,GPIO_AD_B0_13,LCD,
B14,GPIO_AD_B0_14,BatteryVolt,
B15,GPIO_AD_B0_15,,
B16,GPIO_AD_B1_00,,
B17,GPIO_AD_B1_01,EM-AMP,
B18,GPIO_AD_B1_02,EM-AMP,
B19,GPIO_AD_B1_03,EM-AMP,
B20,GPIO_AD_B1_04,EM-AMP,
B21,GPIO_AD_B1_05,,
B22,GPIO_AD_B1_06,,
B23,GPIO_AD_B1_07,,
B24,GPIO_AD_B1_08,,
B25,GPIO_AD_B1_09,,
B26,GPIO_AD_B1_10,,
B27,GPIO_AD_B1_11,,
B28,GPIO_AD_B1_12,,
B29,GPIO_AD_B1_13,,
B30,GPIO_AD_B1_14,,
B31,GPIO_AD_B1_15,LED,
C0,GPIO_EMC_00,ENC-P11,
C1,GPIO_EMC_01,ENC-P11,
C2,GPIO_EMC_02,ENC-P12,
C3,GPIO_EMC_03,ENC-P12,
C4,GPIO_EMC_04,Button-S2-1,
C5,GPIO_EMC_05,Button-S2-2,
C6,GPIO_EMC_06,,
C7,GPIO_EMC_07,,
C8,GPIO_EMC_08,Button-S3,
C9,GPIO_EMC_09,Button-S4,
C10,GPIO_EMC_10,Gusture,
C11,GPIO_EMC_11,Gusture,
C12,GPIO_EMC_12,Gusture,
C13,GPIO_EMC_13,Gusture,
C14,GPIO_EMC_14,Button-S5,
C15,GPIO_EMC_15,Button-S6,
C16,GPIO_EMC_16,BOOT_MOD0,
C17,GPIO_EMC_17,BOOT_MOD1,
C18,GPIO_EMC_18,BOOT_CFG0,LCD
C19,GPIO_EMC_19,BOOT_CFG1,LCD
C20,GPIO_EMC_20,BOOT_CFG2,LCD
C21,GPIO_EMC_21,BOOT_CFG3,LCD
C22,GPIO_EMC_22,BOOT_CFG4,LCD
C23,GPIO_EMC_23,BOOT_CFG5,LCD
C24,GPIO_EMC_24,BOOT_CFG6,LCD
C25,GPIO_EMC_25,BOOT_CFG7,LCD
C26,GPIO_EMC_26,BOOT_CFG8,
C27,GPIO_EMC_27,BOOT_CFG9,
C28,GPIO_EMC_28,Motor,
C29,GPIO_EMC_29,Motor,
C30,GPIO_EMC_30,Motor,
C31,GPIO_EMC_31,Motor,
D0,GPIO_EMC_32,ENC-P13,
D1,GPIO_EMC_33,ENC-P13,
D2,GPIO_EMC_34,ENC-P14,
D3,GPIO_EMC_35,ENC-P14,
D4,GPIO_EMC_36,Motor,
D5,GPIO_EMC_37,Motor,
D6,GPIO_EMC_38,Motor,
D7,GPIO_EMC_39,Motor,
D8,GPIO_EMC_40,,
D9,GPIO_EMC_41,,
D13,GPIO_SD_B0_00,,
D14,GPIO_SD_B0_01,Brake,
D15,GPIO_SD_B0_02,,
D16,GPIO_SD_B0_03,RF-Serial,
D17,GPIO_SD_B0_04,RF-Serial,
D18,GPIO_SD_B0_05,RF-Serial,
D19,GPIO_SD_B0_06,RF-Serial,
D20,GPIO_SD_B1_00,UltraSound,
D21,GPIO_SD_B1_01,UltraSound,
D22,GPIO_SD_B1_02,,
D23,GPIO_SD_B1_03,,
D24,GPIO_SD_B1_04,Buzzer,
